year,type,place,ab,c1,c2,de
2011,place,city/large town,23.0,20.4,13.0,8.7
2011,place,small town,14.5,13.5,8.2,7.2
2011,place,village,5.1,7.1,4.1,1.8
2011,place,rural countryside,9.0,8.7,2.9,3.4
2011,place,seaside resort or town,2.9,3.1,3.2,0.7
2011,place,seaside coastline - a beach,1.8,2.3,1.7,1.2
2011,place,other seaside coastline,0.8,0.9,0.2,0.3
2011,place,other,1.3,0.8,0.7,0.5
2012,place,city/large town,22.8,27.4,15.2,9.8
2012,place,small town,13.7,14.6,8.3,7.4
2012,place,village,5.3,6.9,3.1,3.2
2012,place,rural countryside,8.5,9.5,3.7,2.7
2012,place,seaside resort or town,2.3,3.1,2.5,0.9
2012,place,seaside coastline - a beach,2.0,2.2,1.2,0.8
2012,place,other seaside coastline,0.5,1.5,0.2,0.0
2012,place,other,0.6,2.2,0.6,0.1
2013,place,city/large town,21.0,22.9,14.0,10.3
2013,place,small town,12.2,11.4,6.6,7.2
2013,place,village,5.3,5.2,3.1,3.2
2013,place,rural countryside,7.5,6.3,3.2,3.8
2013,place,seaside resort or town,2.9,2.4,1.6,1.8
2013,place,seaside coastline - a beach,1.4,1.0,1.0,1.6
2013,place,other seaside coastline,0.7,1.1,0.1,0.9
2013,place,other,0.6,0.6,0.6,0.5
2014,place,city/large town,24.9,20.7,9.1,13.3
2014,place,small town,15.1,12.8,6.4,5.6
2014,place,village,5.4,4.2,2.3,2.2
2014,place,rural countryside,7.2,8.1,3.1,2.9
2014,place,seaside resort or town,4.5,2.8,0.9,1.2
2014,place,seaside coastline - a beach,1.9,1.5,0.7,1.0
2014,place,other seaside coastline,1.4,0.6,0.4,0.2
2015,place,city/large town,24.4,25.1,8.9,9.1
2015,place,small town,12.1,12.3,5.0,7.7
2015,place,village,4.1,5.3,1.3,2.0
2015,place,rural countryside,7.6,7.0,2.6,2.6
2015,place,seaside resort or town,3.2,3.1,1.0,1.3
2015,place,seaside coastline - a beach,1.2,2.1,0.9,0.5
2015,place,other seaside coastline,0.6,0.7,0.1,0.4
2016,place,city/large town,22.9,18.6,10.0,9.7
2016,place,small town,11.9,12.0,7.6,7.1
2016,place,village,4.6,4.8,3.7,3.7
2016,place,rural countryside,8.5,5.9,4.1,3.0
2016,place,seaside resort or town,2.9,1.9,1.5,0.8
2016,place,seaside coastline - a beach,2.2,0.9,0.7,0.8
2016,place,other seaside coastline,0.6,0.8,0.2,0.4
2017,place,city/large town,26.2,19.0,12.3,12.7
2017,place,small town,14.2,10.4,8.3,7.1
2017,place,village,4.9,6.1,3.7,4.0
2017,place,rural countryside,7.7,5.0,5.2,3.1
2017,place,seaside resort or town,2.2,2.8,2.1,2.1
2017,place,seaside coastline - a beach,2.1,2.2,2.5,1.5
2017,place,other seaside coastline,0.4,0.1,0.4,0.9
2018,place,city/large town,20.1,19.1,12.9,11.4
2018,place,small town,11.7,10.3,9.4,6.2
2018,place,village,5.1,4.6,2.9,2.9
2018,place,rural countryside,6.4,4.3,5.1,1.4
2018,place,seaside resort or town,2.7,1.9,1.8,1.4
2018,place,seaside coastline - a beach,1.8,1.1,1.4,0.9
2018,place,other seaside coastline,0.8,0.6,0.2,0.3
2019,place,city/large town,16.9,14.4,11.8,15.7
2019,place,small town,7.8,10.0,8.7,10.0
2019,place,village,4.2,4.6,3.2,4.2
2019,place,rural countryside,5.4,4.7,4.4,4.2
2019,place,seaside resort or town,2.2,1.8,1.9,3.0
2019,place,seaside coastline - a beach,2.7,1.8,0.9,1.4
2019,place,other seaside coastline,0.4,0.4,0.4,0.2
