year,type,place,yes,no
2011,place,city/large town,16.9,48.1
2011,place,small town,10.5,32.9
2011,place,village,5.5,12.6
2011,place,rural countryside,4.0,20.1
2011,place,seaside resort or town,3.1,6.8
2011,place,seaside coastline - a beach,2.4,4.6
2011,place,other seaside coastline,0.2,1.9
2011,place,other,1.1,2.3
2012,place,city/large town,19.0,56.3
2012,place,small town,10.1,33.9
2012,place,village,4.3,14.2
2012,place,rural countryside,5.0,19.3
2012,place,seaside resort or town,2.0,6.7
2012,place,seaside coastline - a beach,1.9,4.3
2012,place,other seaside coastline,0.3,2.0
2012,place,other,0.4,3.1
2013,place,city/large town,16.3,52.1
2013,place,small town,10.7,26.8
2013,place,village,4.4,12.4
2013,place,rural countryside,5.9,14.8
2013,place,seaside resort or town,1.7,7.1
2013,place,seaside coastline - a beach,1.8,3.2
2013,place,other seaside coastline,0.1,2.7
2013,place,other,0.9,1.5
2014,place,city/large town,17.9,50.1
2014,place,small town,10.5,29.4
2014,place,village,3.2,10.9
2014,place,rural countryside,4.3,17.0
2014,place,seaside resort or town,1.4,8.0
2014,place,seaside coastline - a beach,0.6,4.5
2014,place,other seaside coastline,0.1,2.5
2015,place,city/large town,16.7,50.9
2015,place,small town,10.5,26.6
2015,place,village,2.8,10.0
2015,place,rural countryside,5.5,14.4
2015,place,seaside resort or town,1.7,6.9
2015,place,seaside coastline - a beach,1.8,2.9
2015,place,other seaside coastline,0.2,1.6
2016,place,city/large town,15.6,45.5
2016,place,small town,10.3,28.4
2016,place,village,3.8,13.0
2016,place,rural countryside,4.2,17.3
2016,place,seaside resort or town,2.0,5.1
2016,place,seaside coastline - a beach,1.0,3.7
2016,place,other seaside coastline,0.5,1.5
2017,place,city/large town,22.7,47.4
2017,place,small town,14.0,26.0
2017,place,village,8.2,10.5
2017,place,rural countryside,3.5,17.5
2017,place,seaside resort or town,2.3,6.9
2017,place,seaside coastline - a beach,1.3,7.0
2017,place,other seaside coastline,1.2,0.6
2018,place,city/large town,19.6,44.0
2018,place,small town,11.7,25.9
2018,place,village,4.3,11.2
2018,place,rural countryside,4.1,13.0
2018,place,seaside resort or town,2.1,5.6
2018,place,seaside coastline - a beach,1.2,4.1
2018,place,other seaside coastline,0.7,1.2
2019,place,city/large town,19.1,39.6
2019,place,small town,12.5,24.0
2019,place,village,5.3,10.9
2019,place,rural countryside,4.9,13.8
2019,place,seaside resort or town,2.3,6.7
2019,place,seaside coastline - a beach,2.2,4.5
2019,place,other seaside coastline,0.6,0.8
